label	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Source	Hybrid Capture Sequencing
OSRC2_KIDNEY	OS-RC-2			kidney	carcinoma	renal_cell_carcinoma	RIKEN	yes
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-6		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	DSMZ	yes
BCPAP_THYROID	B-CPAP		F	thyroid	carcinoma	papillary_carcinoma	DSMZ	yes
8305C_THYROID	8305C		F	thyroid	carcinoma	anaplastic_carcinoma	DSMZ	yes
OAW42_OVARY	OAW42		F	ovary	carcinoma	NS	ECACC	yes
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM-1		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	ATCC	yes
MKN7_STOMACH	MKN7		M	stomach	carcinoma	tubular_adenocarcinoma	RIKEN	yes
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOG-G-CCM			central_nervous_system	glioma	astrocytoma	ECACC	yes
HS571T_OVARY	Hs 571.T		F	ovary	carcinoma	NS	ATCC	yes
KU1919_URINARY_TRACT	KU-19-19		M	urinary_tract	carcinoma	transitional_cell_carcinoma	DSMZ	yes
CORL23_LUNG	COR-L23		M	lung	carcinoma	large_cell_carcinoma	ECACC	yes
NCIH747_LARGE_INTESTINE	NCI-H747	H747	M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
NCIH1437_LUNG	NCI-H1437	H1437	M	lung	carcinoma	adenocarcinoma	ATCC	yes
EVSAT_BREAST	EVSA-T		F	breast	carcinoma	NS	DSMZ	yes
M059K_CENTRAL_NERVOUS_SYSTEM	M059K		M	central_nervous_system	glioma	astrocytoma_Grade_IV	ATCC	yes
COV504_OVARY	COV504		F	ovary	carcinoma	NS	ECACC	yes
TUHR4TKB_KIDNEY	TUHR4TKB			kidney	carcinoma	NS	RIKEN	yes
SKMEL30_SKIN	SK-MEL-30		M	skin	malignant_melanoma	NS	DSMZ	yes
HCC2279_LUNG	HCC-2279		F	lung	carcinoma	adenocarcinoma	KCLB	yes
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WSU-DLCL2		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	yes
639V_URINARY_TRACT	639-V		M	urinary_tract	carcinoma	transitional_cell_carcinoma	DSMZ	yes
FTC133_THYROID	FTC-133		M	thyroid	carcinoma	follicular_carcinoma	ECACC	yes
OE19_OESOPHAGUS	OE19		M	oesophagus	carcinoma	adenocarcinoma	ECACC	yes
HT1080_SOFT_TISSUE	HT-1080		M	soft_tissue	fibrosarcoma	NS	ATCC	yes
BFTC909_KIDNEY	BFTC-909		M	kidney	carcinoma	NS	DSMZ	yes
GMS10_CENTRAL_NERVOUS_SYSTEM	GMS-10		M	central_nervous_system	glioma	astrocytoma_Grade_IV	DSMZ	yes
SNU1033_LARGE_INTESTINE	SNU-1033	NCI-SNU-1033	F	large_intestine	carcinoma	NS	KCLB	yes
A1207_CENTRAL_NERVOUS_SYSTEM	A1207			central_nervous_system	glioma	NS	Academic Lab / Achilles	
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-34		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	HSRRB	yes
HS739T_BREAST	Hs 739.T		F	breast	carcinoma	NS	ATCC	yes
SUIT2_PANCREAS	SUIT-2		M	pancreas	carcinoma	ductal_carcinoma	HSRRB	
NCIH660_PROSTATE	NCI-H660	H660	M	prostate	carcinoma	small_cell_carcinoma	ATCC	yes
SNU423_LIVER	SNU-423	NCI-SNU-423	M	liver	carcinoma	hepatocellular_carcinoma	ATCC	yes
CAL851_BREAST	CAL-85-1		F	breast	carcinoma	NS	DSMZ	yes
SNU475_LIVER	SNU-475	NCI-SNU-475	M	liver	carcinoma	hepatocellular_carcinoma	ATCC	yes
HUH6_LIVER	HuH-6			liver	other	hepatoblastoma	RIKEN	yes
AGS_STOMACH	AGS		F	stomach	carcinoma	adenocarcinoma	ATCC	yes
ASPC1_PANCREAS	AsPC-1		F	pancreas	carcinoma	ductal_carcinoma	ATCC	yes
H4_CENTRAL_NERVOUS_SYSTEM	H4		M	central_nervous_system	glioma	NS	ATCC	yes
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KU812		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	chronic_myeloid_leukaemia	ATCC	yes
SNU213_PANCREAS	SNU-213	NCI-SNU-213	M	pancreas	carcinoma	NS	KCLB	yes
5637_URINARY_TRACT	5637		M	urinary_tract	carcinoma	NS	ATCC	yes
OVKATE_OVARY	OVKATE		F	ovary	carcinoma	adenocarcinoma	HSRRB	yes
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-428		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	DSMZ	yes
LC1SQSF_LUNG	LC-1/sq-SF	LC-1 sq	M	lung	carcinoma	squamous_cell_carcinoma	RIKEN	yes
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-4		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	yes
HS294T_SKIN	Hs 294T		M	skin	malignant_melanoma	NS	ATCC	
HCC4006_LUNG	HCC4006		M	lung	carcinoma	adenocarcinoma	ATCC	yes
CAL148_BREAST	CAL-148		F	breast	carcinoma	ductal_carcinoma	DSMZ	yes
LI7_LIVER	Li-7			liver	carcinoma	hepatocellular_carcinoma	RIKEN	yes
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Reh			haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	ATCC	yes
HS746T_STOMACH	Hs 746T		M	stomach	carcinoma	NS	ATCC	yes
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ41 (clone D2)		F	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ECACC	yes
HS819T_BONE	Hs 819.T		M	bone	chondrosarcoma	NS	ATCC	yes
PANC0403_PANCREAS	Panc 04.03		M	pancreas	carcinoma	NS	ATCC	yes
PANC0213_PANCREAS	Panc 02.13		F	pancreas	carcinoma	NS	ATCC	yes
NCIH2066_LUNG	NCI-H2066	H2066	F	lung	carcinoma	small_cell_carcinoma	ATCC	yes
COLO668_LUNG	COLO 668		F	lung	carcinoma	small_cell_carcinoma	ECACC	yes
OELE_OVARY	OELE			ovary	other	immortalized_epithelial	Academic Lab / Achilles	
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	ATCC	yes
HEC50B_ENDOMETRIUM	HEC-50B		F	endometrium	carcinoma	adenocarcinoma	HSRRB	yes
OV90_OVARY	OV-90		F	ovary	carcinoma	mixed_carcinoma	ATCC	yes
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 751.T			haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	ATCC	yes
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	DSMZ	yes
T3M4_PANCREAS	T3M-4		M	pancreas	carcinoma	ductal_carcinoma	RIKEN	yes
SNU1077_ENDOMETRIUM	SNU-1077	NCI-SNU-1077	F	endometrium	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	KCLB	yes
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	DSMZ	yes
SNU668_STOMACH	SNU-668	NCI-SNU-668	M	stomach	carcinoma	signet_ring_adenocarcinoma	KCLB	yes
KNS42_CENTRAL_NERVOUS_SYSTEM	KNS-42		M	central_nervous_system	glioma	NS	HSRRB	yes
HS675T_LARGE_INTESTINE	Hs 675.T		M	large_intestine	carcinoma	NS	ATCC	yes
GCT_SOFT_TISSUE	GCT		M	soft_tissue	malignant_fibrous_histiocytoma-pleomorphic_sarcoma	NS	ATCC	yes
HCC33_LUNG	HCC-33		M	lung	carcinoma	small_cell_carcinoma	DSMZ	yes
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL-60		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	ATCC	
HS822T_BONE	Hs 822.T		F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	ATCC	yes
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RI-1		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	DSMZ	yes
KYSE410_OESOPHAGUS	KYSE-410		M	oesophagus	carcinoma	squamous_cell_carcinoma	DSMZ	yes
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-19		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	DSMZ	yes
LS180_LARGE_INTESTINE	LS 180		F	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	NS	DSMZ	yes
EBC1_LUNG	EBC-1		M	lung	carcinoma	squamous_cell_carcinoma	RIKEN	yes
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Detroit 562		F	upper_aerodigestive_tract	carcinoma	NS	ATCC	yes
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL-33		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	DSMZ	yes
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-540		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	DSMZ	yes
LS513_LARGE_INTESTINE	LS513		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-422			haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	
CORL279_LUNG	COR-L279		M	lung	carcinoma	small_cell_carcinoma	ECACC	yes
NCIH2347_LUNG	NCI-H2347	H2347	F	lung	carcinoma	adenocarcinoma	ATCC	yes
COLO679_SKIN	COLO-679		F	skin	malignant_melanoma	NS	DSMZ	yes
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	yes
AU565_BREAST	AU565		F	breast	carcinoma	NS	ATCC	yes
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU-201	NCI-SNU-201	M	central_nervous_system	glioma	astrocytoma_Grade_IV	KCLB	yes
SKRC20_KIDNEY	SK-RC-20			kidney	carcinoma	renal_cell_carcinoma	Academic Lab / Achilles	
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU-626	NCI-SNU-626	M	central_nervous_system	glioma	astrocytoma_Grade_IV	KCLB	yes
RT4_URINARY_TRACT	RT4		M	urinary_tract	carcinoma	transitional_cell_carcinoma	ATCC	yes
LK2_LUNG	LK-2		M	lung	carcinoma	squamous_cell_carcinoma	RIKEN	yes
KPNRTBM1_AUTONOMIC_GANGLIA	KP-N-RT-BM-1			autonomic_ganglia	neuroblastoma	NS	HSRRB	yes
HEKTE_KIDNEY	HEK TE	HEK-TE		kidney	other	immortalized_epithelial	Academic Lab / Achilles	
SNU685_ENDOMETRIUM	SNU-685	NCI-SNU-685	F	endometrium	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	KCLB	yes
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 616.T		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	ATCC	yes
DLD1_LARGE_INTESTINE	DLD-1		M	large_intestine	carcinoma	adenocarcinoma	ATCC	
SKMEL5_SKIN	SK-MEL-5		F	skin	malignant_melanoma	NS	ATCC	yes
ACHN_KIDNEY	ACHN		M	kidney	carcinoma	renal_cell_carcinoma	ATCC	yes
NCIH508_LARGE_INTESTINE	NCI-H508	H508	M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
OE33_OESOPHAGUS	OE33		F	oesophagus	other	metaplasia	ECACC	yes
HK2_KIDNEY	HK-2			kidney	other	immortalized_epithelial	ATCC	
SW780_URINARY_TRACT	SW 780		F	urinary_tract	carcinoma	transitional_cell_carcinoma	ATCC	yes
NCIH2227_LUNG	NCI-H2227	H2227	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
UACC62_SKIN	UACC-62			skin	malignant_melanoma	NS	NCI/DCTD	yes
NCIH1648_LUNG	NCI-H1648	H1648	M	lung	carcinoma	adenocarcinoma	ATCC	yes
HCC202_BREAST	HCC202		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 78		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	ATCC	yes
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	ATCC	yes
HCC15_LUNG	HCC-15		M	lung	carcinoma	squamous_cell_carcinoma	DSMZ	yes
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RL		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	ATCC	yes
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ATCC	yes
HLE_LIVER	HLE		M	liver	carcinoma	hepatocellular_carcinoma	HSRRB	
CHAGOK1_LUNG	ChaGo-K-1		M	lung	carcinoma	NS	ECACC	yes
PSN1_PANCREAS	PSN1			pancreas	carcinoma	ductal_carcinoma	ECACC	yes
FTC238_THYROID	FTC-238		M	thyroid	carcinoma	follicular_carcinoma	ECACC	yes
NUGC4_STOMACH	NUGC-4			stomach	carcinoma	signet_ring_adenocarcinoma	RIKEN	yes
SNU216_STOMACH	SNU-216	NCI-SNU-216	F	stomach	carcinoma	NS	KCLB	yes
HS606T_BREAST	Hs 606.T		F	breast	carcinoma	NS	ATCC	
TCCSUP_URINARY_TRACT	TCCSUP		F	urinary_tract	carcinoma	transitional_cell_carcinoma	ATCC	
HS578T_BREAST	Hs 578T		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
KYSE150_OESOPHAGUS	KYSE-150		F	oesophagus	carcinoma	squamous_cell_carcinoma	DSMZ	yes
A204_SOFT_TISSUE	A-204		F	soft_tissue	rhabdoid_tumour	NS	ATCC	yes
SW579_THYROID	SW579		M	thyroid	carcinoma	anaplastic_carcinoma	ATCC	yes
KMRC2_KIDNEY	KMRC-2		M	kidney	carcinoma	clear_cell_renal_cell_carcinoma	HSRRB	yes
EFE184_ENDOMETRIUM	EFE-184		F	endometrium	carcinoma	NS	DSMZ	yes
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma	DSMZ	yes
RH41_SOFT_TISSUE	RH-41		F	soft_tissue	rhabdomyosarcoma	alveolar	DSMZ	yes
KYSE270_OESOPHAGUS	KYSE-270		M	oesophagus	carcinoma	squamous_cell_carcinoma	DSMZ	yes
NCIH1395_LUNG	NCI-H1395	H1395	F	lung	carcinoma	adenocarcinoma	ATCC	
IGR1_SKIN	IGR-1		M	skin	malignant_melanoma	NS	DSMZ	
CAKI1_KIDNEY	Caki-1		M	kidney	carcinoma	clear_cell_renal_cell_carcinoma	ATCC	yes
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-2		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	DSMZ	yes
JMSU1_URINARY_TRACT	JMSU-1		M	urinary_tract	carcinoma	NS	DSMZ	yes
NCIH1793_LUNG	NCI-H1793	H1793	F	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
EFO27_OVARY	EFO-27		F	ovary	carcinoma	mucinous_carcinoma	DSMZ	yes
ZR751_BREAST	ZR-75-1		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
CFPAC1_PANCREAS	CFPAC-1		M	pancreas	carcinoma	ductal_carcinoma	ATCC	yes
HLFA_LUNG	HLF-a		F	lung	carcinoma	squamous_cell_carcinoma	ATCC	yes
NCIH1876_LUNG	NCI-H1876	H1876	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
RMUGS_OVARY	RMUG-S		F	ovary	carcinoma	adenocarcinoma	HSRRB	yes
SNU1272_KIDNEY	SNU-1272	NCI-SNU-1272	F	kidney	carcinoma	clear_cell_renal_cell_carcinoma	KCLB	yes
SBC5_LUNG	SBC-5			lung	carcinoma	small_cell_carcinoma	HSRRB	yes
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF-1		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	ATCC	yes
CAPAN1_PANCREAS	Capan-1		M	pancreas	carcinoma	ductal_carcinoma	ATCC	yes
BECKER_CENTRAL_NERVOUS_SYSTEM	Becker		M	central_nervous_system	glioma	astrocytoma_Grade_IV	HSRRB	yes
SKES1_BONE	SK-ES-1		M	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	ATCC	yes
SLR26_KIDNEY	SLR 26			kidney	carcinoma	renal_cell_carcinoma	Academic Lab / Achilles	
PANC0813_PANCREAS	Panc 08.13		M	pancreas	carcinoma	ductal_carcinoma	ATCC	yes
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO-1		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	HSRRB	
MFE319_ENDOMETRIUM	MFE-319		F	endometrium	carcinoma	adenocarcinoma	DSMZ	yes
KMBC2_URINARY_TRACT	KMBC-2			urinary_tract	carcinoma	NS	HSRRB	yes
HCC1897_LUNG	HCC-1897	HCC1897		lung	carcinoma	squamous_cell_carcinoma	Academic Lab / Achilles	
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP-8		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	DSMZ	yes
PC3_PROSTATE	PC-3		M	prostate	carcinoma	adenocarcinoma	ATCC	yes
NCIH1963_LUNG	NCI-H1963	H-1963 | H1963	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
SKLMS1_SOFT_TISSUE	SK-LMS-1		F	soft_tissue	sarcoma	NS	ATCC	yes
TE159T_SOFT_TISSUE	TE 159.T		M	soft_tissue	rhabdomyosarcoma	NS	ATCC	yes
FADU_UPPER_AERODIGESTIVE_TRACT	FaDu		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ATCC	yes
SNU503_LARGE_INTESTINE	SNU-503	NCI-SNU-503	M	large_intestine	carcinoma	NS	KCLB	yes
MKN1_STOMACH	MKN1		M	stomach	carcinoma	mixed_adenosquamous_carcinoma	HSRRB	yes
COLO818_SKIN	COLO-818			skin	malignant_melanoma	NS	DSMZ	yes
SCC4_UPPER_AERODIGESTIVE_TRACT	SCC-4		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ATCC	yes
BJHTERT_SKIN	BJ hTERT			skin	other	immortalized_fibroblast	Academic Lab / Achilles	
D283MED_CENTRAL_NERVOUS_SYSTEM	D283 Med		M	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	NS	ATCC	
TE441T_SOFT_TISSUE	TE 441.T		F	soft_tissue	rhabdomyosarcoma	NS	ATCC	yes
SCC9_UPPER_AERODIGESTIVE_TRACT	SCC-9		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ATCC	yes
JHESOAD1_OESOPHAGUS	JH-EsoAd1			oesophagus	carcinoma	barrett_associated_adenocarcinoma	Academic Lab / Achilles	
TYKNU_OVARY	TYK-nu		F	ovary	carcinoma	undifferentiated_carcinoma	HSRRB	yes
OV7_OVARY	OV7		F	ovary	carcinoma	NS	ECACC	
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U-937		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	ATCC	yes
UOK101_KIDNEY	UOK101			kidney	carcinoma	clear_cell_renal_cell_carcinoma	Academic Lab / Achilles	
HCT15_LARGE_INTESTINE	HCT-15		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
UACC812_BREAST	UACC-812		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
SCABER_URINARY_TRACT	SCaBER		M	urinary_tract	carcinoma	transitional_cell_carcinoma	ATCC	yes
KATOIII_STOMACH	KATO III		M	stomach	carcinoma	adenocarcinoma	ATCC	yes
HARA_LUNG	HARA		M	lung	carcinoma	squamous_cell_carcinoma	HSRRB	yes
NCIH1373_LUNG	NCI-H1373	H1373	M	lung	carcinoma	adenocarcinoma	ATCC	yes
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-363		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	DSMZ	yes
U343_CENTRAL_NERVOUS_SYSTEM	U343			central_nervous_system	glioma	astrocytoma_Grade_IV	Academic Lab / Achilles	
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ15		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma	ECACC	yes
HS839T_SKIN	Hs 839.T		F	skin	malignant_melanoma	NS	ATCC	yes
TE4_OESOPHAGUS	TE-4			oesophagus	carcinoma	squamous_cell_carcinoma	RIKEN	yes
HCC2935_LUNG	HCC2935		M	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	REC-1		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	mantle_cell_lymphoma	DSMZ	yes
MDAMB231_BREAST	MDA-MB-231		F	breast	carcinoma	NS	ATCC	yes
HEYA8_OVARY	Hey-A8		F	ovary	carcinoma	NS	Academic Lab	yes
UACC893_BREAST	UACC-893		F	breast	carcinoma	ductal_carcinoma	ATCC	yes
HS229T_LUNG	Hs 229.T		M	lung	carcinoma	adenocarcinoma	ATCC	yes
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	ATCC	yes
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CML-T1		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	DSMZ	yes
NCIH1105_LUNG	NCI-H1105	H1105	M	lung	carcinoma	small_cell_carcinoma	ATCC	yes
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1-S			haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	Academic Lab	yes
TIG3TD_LUNG	TIG-3 TD	TIG3 TD		lung	other	immortalized_embryonic_fibroblast	Academic Lab / Achilles	
LN340_CENTRAL_NERVOUS_SYSTEM	LN-340	LN340		central_nervous_system	glioma	astrocytoma_Grade_IV	Academic Lab / Achilles	
NCIH2172_LUNG	NCI-H2172	H2172	F	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	DSMZ	yes
RERFLCAD1_LUNG	RERF-LC-Ad1		M	lung	carcinoma	adenocarcinoma	HSRRB	yes
NCIH838_LUNG	NCI-H838	H838	M	lung	carcinoma	non_small_cell_carcinoma	ATCC	yes
HCC2814_LUNG	HCC-2814	HCC2814		lung	carcinoma	squamous_cell_carcinoma	Academic Lab / Achilles	
SW1116_LARGE_INTESTINE	SW1116		M	large_intestine	carcinoma	adenocarcinoma	ATCC	yes
NCIH2073_LUNG	NCI-H2073	H2073	F	lung	carcinoma	adenocarcinoma	ATCC	yes
HDQP1_BREAST	HDQ-P1		F	breast	carcinoma	ductal_carcinoma	DSMZ	
DFCI024_LUNG	DFCI024			lung	carcinoma	adenocarcinoma	Academic Lab / Achilles	
SALE_LUNG	SALE			lung	other	immortalized_epithelial	Academic Lab / Achilles	
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PF-382		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	yes
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1		M	central_nervous_system	glioma	astrocytoma_Grade_IV	ICLC	yes
KPNSI9S_AUTONOMIC_GANGLIA	KP-N-SI9s	KP-N-S19s	M	autonomic_ganglia	neuroblastoma	NS	HSRRB	yes
HCC827GR5_LUNG	HCC-827-GR5			lung	carcinoma	adenocarcinoma	Academic Lab / Achilles	
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JK-1		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	DSMZ	yes
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM-2		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	DSMZ	yes
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified	ATCC	yes
OVMANA_OVARY	OVMANA		F	ovary	carcinoma	clear_cell_carcinoma	HSRRB	yes
SKOV3_OVARY	SK-OV-3		F	ovary	carcinoma	adenocarcinoma	ATCC	yes
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-10		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	yes
COLO320_LARGE_INTESTINE	COLO-320	COLO-320-HSR	F	large_intestine	carcinoma	adenocarcinoma	DSMZ	yes
MDAMB361_BREAST	MDA-MB-361		F	breast	carcinoma	NS	ATCC	yes
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-1236		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	DSMZ	yes
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO 775		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	chronic_myeloid_leukaemia	ECACC	yes
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-8		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	DSMZ	yes
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TALL-1		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	DSMZ	
